date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:32:51	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-579b64fe-addd3f125a84d6be;;;%22	http://thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont.eot?	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfontd41d.eot	(from http://thesharthee.com/tf/mackien-preview/assets/css/font-awesome.min.css)
03:32:51	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%22118d8-579b64fe-74599ce56fd8f783;;;%22	http://thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont5b62.woff2	(from http://thesharthee.com/tf/mackien-preview/assets/css/font-awesome.min.css)
03:32:53	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202019%2022:02:52%20GMT	http://thesharthee.com/tf/mackien-preview/assets/css/owl.video.play.png	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/css/owl.video.play.2e.delayed	(from http://thesharthee.com/tf/mackien-preview/assets/css/owl.carousel.css)
03:32:53	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:52%20GMT	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img6.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img6.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:53	90412/90412	---M--	200	added ('OK')	font/woff	etag:%221612c-579b64fe-e3adcc3a07912bad;;;%22	http://thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont.woff?v=4.6.3	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont5b62.woff	(from http://thesharthee.com/tf/mackien-preview/assets/css/font-awesome.min.css)
03:32:53	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:53%20GMT	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img8.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img8.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:54	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:53%20GMT	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img9.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img9.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:54	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:54%20GMT	http://thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb1.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb1.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:54	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:54%20GMT	http://thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb2.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb2.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:32:55	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:54%20GMT	http://thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb3.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/blog/blog-thumb3.jpg	(from http://thesharthee.com/tf/mackien-preview/)
